model_type,outcome,respiratory,beta,std_error,statistic,p_value,adj_r2,conditional_r2
Model1_two_timepoints_resp_only,fss_sum,fit_pre_max,-0.122890142542879,0.113775190542491,-0.752289973824903,0.456966260523144,0.0146737741128002,0.317647954007292
Model1_two_timepoints_resp_only,fss_sum,id_pre_max,-0.0894975490227628,0.444776264721938,-0.449352192729273,0.656963321234208,0.00757857026360398,0.469815656495224
Model1_two_timepoints_resp_only,fss_sum,id_post_max,-0.0598356884173189,0.515507325932995,-0.289833599317838,0.774507860213767,0.00340835154634838,0.456746343786477
Model1_two_timepoints_resp_only,fss_sum,volume_post_max,-0.0269583909800548,0.13321447757934,-0.17211183299014,0.864383759014689,0.000711601657883895,0.284016077062146
Model1_two_timepoints_resp_only,vas_fatiguecurrent,mip_pre_max,-0.418055702665849,0.0114415948850827,-2.86445120844376,0.00728074541451419,0.163404685707007,0.403469126484803
Model1_two_timepoints_resp_only,vas_fatiguecurrent,mip_pre_max_percentpredict_2,-0.381105009381511,0.0139865103251835,-2.54491775807623,0.015660170086248,0.137091285898172,0.352555389998068
Model1_two_timepoints_resp_only,vas_fatiguecurrent,mip_pre_max_percentpredict_1,-0.373113830723033,0.0121692601634004,-2.50846982199342,0.0173662409282962,0.130514643677605,0.367052860465054
Model1_two_timepoints_resp_only,vas_fatiguecurrent,sindex_pre_max,-0.317941101131282,0.0183744875125898,-2.00526015921104,0.0527828946420157,0.0946640341620937,0.31205296105983
Model1_two_timepoints_resp_only,vas_fatiguecurrent,pif_post_max,-0.309317813414397,0.31234779248512,-1.92327484290425,0.0623825929611017,0.0908193270208748,0.266643898411021
Model1_two_timepoints_resp_only,vas_fatiguecurrent,pif_pre_max,-0.310229610381763,0.32879342791271,-1.94636538738369,0.0596372762566216,0.0904148079772116,0.299207223792339
Model1_two_timepoints_resp_only,vas_fatiguecurrent,sindex_post_max,-0.303885564482562,0.0175846488295357,-1.88300041455977,0.067803538428408,0.08769222717505,0.261756464585279
Model1_two_timepoints_resp_only,vas_fatiguecurrent,mip_post_max,-0.288700557407561,0.0123535353927112,-1.84845158737922,0.0728773080117727,0.0798047446823578,0.250786846840579
Model1_two_timepoints_resp_only,vas_fatiguecurrent,slopesmip_post_max,-0.266769008847708,0.015068107603968,-1.36062397591933,0.188735077067278,0.0684749166136539,0.20455304095141
Model1_two_timepoints_resp_only,vas_fatiguecurrent,mip_post_max_percentpredict_2,-0.260787217796806,0.0153131354667595,-1.65523364050537,0.10663026174535,0.0653534276678594,0.222434932418256
Model1_two_timepoints_resp_only,vas_fatiguecurrent,volume_post_max,-0.255792987111397,0.0285405950404045,-1.60384127913636,0.118293200239188,0.0615922767396763,0.272562593168449
Model1_two_timepoints_resp_only,vas_fatiguecurrent,mip_post_max_percentpredict_1,-0.233308741951706,0.0129777377590395,-1.47720118396129,0.148594517550585,0.0522830196469032,0.21232310483851
Model1_two_timepoints_resp_only,vas_fatiguecurrent,slopesmip_pre_max,-0.22932500241642,0.0267484850060599,-1.18555990626802,0.246990056795317,0.0507503444199834,0.187623006794079
Model1_two_timepoints_resp_only,vas_fatiguecurrent,volume_pre_max,0.183767485462847,0.666207188626178,1.0904590724762,0.284841901401865,0.0326466512197499,0.130843198495229
Model1_two_timepoints_resp_only,vas_fatiguecurrent,smip_post_max,-0.167849696167283,0.00304675969219991,-1.021282411793,0.313878846446013,0.0271143188297949,0.169951855424467
Model1_two_timepoints_resp_only,vas_fatiguecurrent,id_pre_max,0.138211807934197,0.10377994564831,0.687113245313019,0.498870225830541,0.0182081648835412,0.223398241895691
Model1_two_timepoints_resp_only,vas_fatiguecurrent,fit_post_max,-0.104607108233687,0.0317413459443947,-0.636089371993889,0.528810499483871,0.0106388317435922,0.0902103504663845
Model1_two_timepoints_resp_only,vas_fatiguecurrent,smip_pre_max,-0.0616818102854197,0.00249365276986401,-0.368489317156873,0.714925665163861,0.0036867617416884,0.110107062725767
Model1_two_timepoints_resp_only,vas_fatiguecurrent,fit_pre_max,-0.0242903977014506,0.024449496417199,-0.146793339474215,0.884133869865579,0.000573322280211091,0.0849232734946901
Model1_two_timepoints_resp_only,vas_fatiguecurrent,id_post_max,0.000603324402792759,0.118916272508531,0.00295272059050524,0.997671903346475,3.48432902161866E-07,0.191496831128108
Model1_two_timepoints_resp_only,woods_sum,mip_pre_max_percentpredict_1,-0.451452100440648,0.0276078611409757,-3.99859462816038,0.00049259168353844,0.187938246495781,0.715853181147543
Model1_two_timepoints_resp_only,woods_sum,mip_pre_max_percentpredict_2,-0.454706326004449,0.0319726425410616,-3.96280970237669,0.000536372397713589,0.184872821714656,0.72939989798025
Model1_two_timepoints_resp_only,woods_sum,mip_pre_max,-0.421778137418712,0.027939169340191,-3.56384834680428,0.0014230292434829,0.167640381458566,0.673261579520453
Model1_two_timepoints_resp_only,woods_sum,mip_post_max_percentpredict_2,-0.43215909824937,0.0346319485073087,-3.60235239154889,0.00129828641816701,0.166196337039687,0.710693016190094
Model1_two_timepoints_resp_only,woods_sum,mip_post_max_percentpredict_1,-0.41642479741022,0.0292703455708611,-3.47971740324226,0.00177125596828825,0.159140255711916,0.685783503642015
Model1_two_timepoints_resp_only,woods_sum,mip_post_max,-0.402500039641767,0.0293100364984444,-3.26435315215758,0.00294900109593783,0.150611025730722,0.661531010882053
Model1_two_timepoints_resp_only,woods_sum,pif_post_max,-0.376791947619917,0.809822212488106,-2.73212497800712,0.0102851704210875,0.132353677047736,0.618325275039522
Model1_two_timepoints_resp_only,woods_sum,sindex_post_max,-0.369891936643164,0.0458872440133572,-2.65487579561243,0.0123479808942168,0.127378121760623,0.6140723257696
Model1_two_timepoints_resp_only,woods_sum,slopesmip_post_max,-0.289050418373381,0.0375285280019618,-1.59807448777862,0.121930878166002,0.0793882797468917,0.705224753058746
Model1_two_timepoints_resp_only,woods_sum,smip_post_max,-0.289984513063801,0.00791938644646244,-1.98704507051149,0.0548747761116844,0.0782194808103114,0.573420465260795
Model1_two_timepoints_resp_only,woods_sum,pif_pre_max,-0.287755572674703,0.872028524276827,-2.04660964828407,0.0495490781396639,0.0782034839326732,0.565313321799181
Model1_two_timepoints_resp_only,woods_sum,sindex_pre_max,-0.273766321398794,0.0490982266982984,-1.94351877119855,0.061419184043013,0.0711936086417974,0.552701687432232
Model1_two_timepoints_resp_only,woods_sum,slopesmip_pre_max,-0.249466694606997,0.0588235818496509,-1.57868292720718,0.128929754406485,0.0599695832786716,0.70280887752146
Model1_two_timepoints_resp_only,woods_sum,smip_pre_max,-0.158331054876487,0.00717005138279739,-0.980992334041898,0.33280866783279,0.0239419931230202,0.493222151991241
Model1_two_timepoints_resp_only,woods_sum,volume_pre_max,0.128422042339863,2.03415664008865,0.754573622624808,0.455491474849498,0.0160712151475866,0.450959060960501
Model1_two_timepoints_resp_only,woods_sum,fit_post_max,-0.0985758970396407,0.0945254785173722,-0.602853054379467,0.550724789963088,0.0094366180221461,0.456882739873108
Model1_two_timepoints_resp_only,woods_sum,id_post_max,-0.0613973840495065,0.30628624093626,-0.309489952172406,0.759385008169825,0.00361420825933582,0.665827875616336
Model1_two_timepoints_resp_only,woods_sum,volume_post_max,-0.0228463364678593,0.0797537313689537,-0.155054319009262,0.877811381186116,0.000513685212019117,0.424226161023708
Model1_two_timepoints_resp_only,woods_sum,fit_pre_max,-0.0162368113549588,0.073024417932464,-0.0988781666760187,0.921825290036878,0.000255868183967023,0.452871177815987
Model1_two_timepoints_resp_only,woods_sum,id_pre_max,-0.0116041944313654,0.25881559279718,-0.0619074307250103,0.95109257523496,0.00012943142801824,0.662316408015412
Model2_two_timepoints_with_covariates,dsq_sum,slopesmip_pre_max,-0.157788942585725,0.0844772870799351,-0.943480029199492,0.354629288881443,0.242666688523777,0.605517654601335
Model2_two_timepoints_with_covariates,dsq_sum,mip_pre_max_percentpredict_1,-0.386404982376832,0.0333954825232948,-3.8196761421578,0.000838724272681565,0.221665095598624,0.764779926137935
Model2_two_timepoints_with_covariates,dsq_sum,slopesmip_post_max,-0.0416789410825714,0.0530774343997896,-0.221082313026069,0.826880280383865,0.220041174134655,0.588240120961253
Model2_two_timepoints_with_covariates,dsq_sum,id_pre_max,-0.0113984462405018,0.34299662013028,-0.0622639021452675,0.950876277489185,0.216304861451518,0.59147429870862
Model2_two_timepoints_with_covariates,dsq_sum,id_post_max,0.00334850862127864,0.393805777149218,0.0178137688085419,0.985951835120589,0.216238227643898,0.592975493490416
Model2_two_timepoints_with_covariates,dsq_sum,mip_pre_max_percentpredict_2,-0.389675277871382,0.0382126714039547,-3.83609445990097,0.000806882938556009,0.21567119547999,0.784401714101256
Model2_two_timepoints_with_covariates,dsq_sum,mip_post_max_percentpredict_1,-0.361489129064994,0.0365220959374815,-3.26826960874666,0.00307176010057324,0.207008428505968,0.709972204343821
Model2_two_timepoints_with_covariates,dsq_sum,mip_post_max_percentpredict_2,-0.365313114506489,0.0431522635990807,-3.29931838651998,0.00284314971770434,0.202866895815155,0.735107647139362
Model2_two_timepoints_with_covariates,dsq_sum,sindex_post_max,-0.372883146940179,0.056466524155636,-2.94387128932588,0.00669567486635442,0.195032860656524,0.704621466169585
Model2_two_timepoints_with_covariates,dsq_sum,pif_post_max,-0.369945864131722,0.991461194206847,-2.96569775774354,0.00637178640568737,0.194318254138799,0.711353420987287
Model2_two_timepoints_with_covariates,dsq_sum,mip_pre_max,-0.369443109779405,0.0315713341735404,-3.72946350512173,0.00115360918203049,0.189556977966947,0.799938239697037
Model2_two_timepoints_with_covariates,dsq_sum,mip_post_max,-0.340054106102843,0.0349545054555974,-3.12201880511625,0.00462935651422846,0.17539271261551,0.756475820158738
Model2_two_timepoints_with_covariates,dsq_sum,pif_pre_max,-0.335172274122184,1.01741325715582,-2.7655942171563,0.0105051129241687,0.173942782073215,0.704959548422959
Model2_two_timepoints_with_covariates,dsq_sum,sindex_pre_max,-0.330260024586585,0.0571115269322072,-2.72823994106934,0.0115577559213122,0.170548139036362,0.700894624865589
Model2_two_timepoints_with_covariates,dsq_sum,smip_post_max,-0.326242713390102,0.00914067564315698,-2.61474930812163,0.0144363211414453,0.145861768426498,0.768834500013512
Model2_two_timepoints_with_covariates,dsq_sum,smip_pre_max,-0.301924577147448,0.00882228045288607,-2.05249670528577,0.0485115602816906,0.123333234627247,0.7520397006072
Model2_two_timepoints_with_covariates,dsq_sum,volume_post_max,-0.180542262019133,0.0910586947707047,-1.45261849209606,0.159678355619736,0.0949235460534713,0.668652181040448
Model2_two_timepoints_with_covariates,dsq_sum,volume_pre_max,0.113448043977981,3.05284467689425,0.601193868958343,0.551948248722835,0.0749973198110463,0.639542249337648
Model2_two_timepoints_with_covariates,dsq_sum,fit_post_max,-0.0277576092836055,0.127403585564171,-0.170032956042167,0.86616252981204,0.0650566392316522,0.663486029173246
Model2_two_timepoints_with_covariates,dsq_sum,fit_pre_max,-0.0102304229231479,0.0967213353948309,-0.0635012323050797,0.949787090330449,0.0639508593234889,0.661416562330904
Model2_two_timepoints_with_covariates,fss_sum,mip_post_max_percentpredict_2,-0.601374847400793,0.0530904860831115,-5.1214867290131,1.62853101360905E-05,0.392758683668397,0.679459379335251
Model2_two_timepoints_with_covariates,fss_sum,mip_post_max_percentpredict_1,-0.578742297823668,0.0458161122889875,-4.83894030461673,3.37602815612612E-05,0.383089937878706,0.627472291769534
Model2_two_timepoints_with_covariates,fss_sum,mip_pre_max_percentpredict_1,-0.558081551592448,0.0468956984296539,-4.55765191092377,7.11216311511463E-05,0.368108625299402,0.577472635538207
Model2_two_timepoints_with_covariates,fss_sum,mip_pre_max_percentpredict_2,-0.564815722336656,0.0534272578866539,-4.61362911192547,6.15889495068783E-05,0.36615927916642,0.610862189122856
Model2_two_timepoints_with_covariates,fss_sum,mip_post_max,-0.551028783253762,0.0460328562176051,-4.45658263343457,0.000112937497618281,0.331149657433374,0.646628590854814
Model2_two_timepoints_with_covariates,fss_sum,sindex_post_max,-0.554093256673812,0.0735407036971264,-3.89911711457291,0.000461896958842975,0.313590427291557,0.577837937204589
Model2_two_timepoints_with_covariates,fss_sum,mip_pre_max,-0.517055346962593,0.0471320515189913,-4.05618134333527,0.000330112826566866,0.307133427724276,0.58599027513213
Model2_two_timepoints_with_covariates,fss_sum,pif_post_max,-0.54281804992189,1.30131533926221,-3.84866617256351,0.000535009125735102,0.30690566548198,0.58117765788355
Model2_two_timepoints_with_covariates,fss_sum,pif_pre_max,-0.475051344226518,1.39121409960542,-3.32765599620569,0.00220997021861993,0.261892078170448,0.521150499712609
Model2_two_timepoints_with_covariates,fss_sum,sindex_pre_max,-0.461876671432417,0.0792064062836573,-3.1936706112396,0.00315061284415743,0.251729327708888,0.495678966369867
Model2_two_timepoints_with_covariates,fss_sum,smip_post_max,-0.461624524555674,0.012471772819071,-3.14581489377619,0.00338796250346821,0.237347588132784,0.564562532086395
Model2_two_timepoints_with_covariates,fss_sum,slopesmip_post_max,-0.246337291085831,0.0673331082363252,-1.22768104421979,0.23163231039971,0.178407801584444,0.539363682265513
Model2_two_timepoints_with_covariates,fss_sum,slopesmip_pre_max,-0.197941316137634,0.1103501243831,-1.07993231665132,0.290481217398786,0.169978235306634,0.476590386404919
Model2_two_timepoints_with_covariates,fss_sum,smip_pre_max,-0.357148640895806,0.0117195645658713,-2.1203489275772,0.0410387775765042,0.161979744433721,0.4462144755987
Model2_two_timepoints_with_covariates,fss_sum,id_pre_max,-0.0735355950656901,0.441613320929638,-0.371854269905851,0.713504355499431,0.13314044509122,0.478805051595707
Model2_two_timepoints_with_covariates,fss_sum,id_post_max,-0.0485536123821027,0.501945307206818,-0.241539647555572,0.811647464915897,0.131813718996064,0.469301190855245
Model2_two_timepoints_with_covariates,fss_sum,fit_post_max,-0.145961745394013,0.147612894487101,-0.895266629833567,0.377510692785036,0.085807006114098,0.354166790784955
Model2_two_timepoints_with_covariates,fss_sum,fit_pre_max,-0.109085275808054,0.113464031135467,-0.669612762142213,0.507961592752456,0.0772185910950721,0.346362607074846
Model2_two_timepoints_with_covariates,fss_sum,volume_pre_max,0.0927796764498916,4.05329529359413,0.429873750865138,0.669938079113452,0.0764614088307436,0.322120690668712
Model2_two_timepoints_with_covariates,fss_sum,volume_post_max,-0.066845744013343,0.137848406011633,-0.412420458853785,0.682825427625491,0.075799482534746,0.305363449432673
Model2_two_timepoints_with_covariates,vas_fatiguecurrent,mip_pre_max,-0.425565354308068,0.0116754546190699,-2.8575004530135,0.00761033968114246,0.224073426185967,0.419798262339019
Model2_two_timepoints_with_covariates,vas_fatiguecurrent,mip_pre_max_percentpredict_1,-0.374424054451842,0.0121939117551585,-2.51218953709784,0.0172685577404647,0.196049545625904,0.3842474820501
Model2_two_timepoints_with_covariates,vas_fatiguecurrent,mip_pre_max_percentpredict_2,-0.361642834283316,0.0141430103035897,-2.38823177143698,0.0228442082731152,0.187426504998494,0.369029546957854
Model2_two_timepoints_with_covariates,vas_fatiguecurrent,sindex_pre_max,-0.351502557371468,0.0191648053619521,-2.12551102685227,0.0414262866834835,0.160992783029719,0.336104128175759
Model2_two_timepoints_with_covariates,vas_fatiguecurrent,pif_post_max,-0.344913008724052,0.330503951660155,-2.0267854523854,0.050671458335261,0.158124124232,0.297047479952831
Model2_two_timepoints_with_covariates,vas_fatiguecurrent,pif_pre_max,-0.341645553349478,0.341591653613789,-2.0631593642175,0.0471527361573019,0.157281887672529,0.322817425712763
Model2_two_timepoints_with_covariates,vas_fatiguecurrent,sindex_post_max,-0.343145279554135,0.0187853241475892,-1.99036800000234,0.0547367684407347,0.155217984876851,0.292315814152689
Model2_two_timepoints_with_covariates,vas_fatiguecurrent,mip_post_max,-0.281011067453644,0.0126831375601321,-1.75246133094463,0.0888340046517275,0.142354021816592,0.266007783339522
Model2_two_timepoints_with_covariates,vas_fatiguecurrent,volume_post_max,-0.278891946599914,0.029528511163215,-1.69016926586578,0.101201576379873,0.126987610450023,0.298759361694218
Model2_two_timepoints_with_covariates,vas_fatiguecurrent,mip_post_max_percentpredict_2,-0.229140990172162,0.0155350112146855,-1.43360115416695,0.160733798454038,0.121905845675059,0.235269991403962
Model2_two_timepoints_with_covariates,vas_fatiguecurrent,mip_post_max_percentpredict_1,-0.223086580557138,0.0130498773989573,-1.40467109098603,0.169193574005955,0.120143973149022,0.228781768527346
Model2_two_timepoints_with_covariates,vas_fatiguecurrent,slopesmip_post_max,-0.206453976387154,0.0161558861772798,-0.9820959597678,0.338402964420995,0.102194440442405,0.253490443333403
Model2_two_timepoints_with_covariates,vas_fatiguecurrent,slopesmip_pre_max,-0.190809907609439,0.0275401471777177,-0.9580892132833,0.348099928385234,0.0992664710343251,0.235578245090982
Model2_two_timepoints_with_covariates,vas_fatiguecurrent,smip_post_max,-0.161496797537372,0.00308900343611335,-0.969190208578597,0.33939190482333,0.0984938227370635,0.179829139525784
Model2_two_timepoints_with_covariates,vas_fatiguecurrent,volume_pre_max,0.21003393414917,0.889132878778388,0.933840723569521,0.357204962176348,0.0901338422456275,0.162911269403227
Model2_two_timepoints_with_covariates,vas_fatiguecurrent,fit_post_max,-0.103409510577089,0.0312908676849399,-0.637859690259668,0.528028372329993,0.0881340245490082,0.109771712713625
Model2_two_timepoints_with_covariates,vas_fatiguecurrent,id_pre_max,0.155936870115839,0.106496274886941,0.755459187886645,0.458588955273204,0.0865039579618116,0.270861305553036
Model2_two_timepoints_with_covariates,vas_fatiguecurrent,smip_pre_max,-0.0320874340210859,0.00263210905889029,-0.18160795961134,0.857110660727131,0.0784656970568443,0.116172831604176
Model2_two_timepoints_with_covariates,vas_fatiguecurrent,fit_pre_max,-0.0098671307682221,0.0240003075053951,-0.060745725217174,0.951932135503453,0.0782379842206034,0.102710406130486
Model2_two_timepoints_with_covariates,vas_fatiguecurrent,id_post_max,0.00427023605615614,0.120461225694797,0.0206308610410063,0.983766412892429,0.0660543812935531,0.236633920517667
Model2_two_timepoints_with_covariates,woods_sum,mip_pre_max_percentpredict_1,-0.462362781696202,0.027925031811447,-4.04871916572688,0.000456720868858615,0.189581615571285,0.730245327110774
Model2_two_timepoints_with_covariates,woods_sum,mip_pre_max_percentpredict_2,-0.467339040644695,0.0323039583444078,-4.03113251307829,0.000475779616045031,0.18581476547261,0.74362815249185
Model2_two_timepoints_with_covariates,woods_sum,mip_post_max_percentpredict_2,-0.448245488946228,0.0350509783636268,-3.69177516274396,0.00108770919235961,0.168345812479087,0.726421933417204
Model2_two_timepoints_with_covariates,woods_sum,mip_post_max_percentpredict_1,-0.430566181524637,0.029650861350738,-3.55171282409274,0.00153943223168235,0.162840643590203,0.70248530034134
Model2_two_timepoints_with_covariates,woods_sum,mip_pre_max,-0.426441226236168,0.0285432018890315,-3.5269973602165,0.00169015993869965,0.157186794646591,0.694008491592659
Model2_two_timepoints_with_covariates,woods_sum,mip_post_max,-0.408510762343745,0.0299638399867931,-3.24081023501293,0.0033304394172457,0.142429593316598,0.684197810462038
Model2_two_timepoints_with_covariates,woods_sum,pif_post_max,-0.391072005135713,0.848647010294719,-2.70594070773309,0.0116055409077487,0.123290013236479,0.642439271590217
Model2_two_timepoints_with_covariates,woods_sum,sindex_post_max,-0.386629269792178,0.0483202084075506,-2.63528293168624,0.0137030783940407,0.118251446750639,0.638363717366664
Model2_two_timepoints_with_covariates,woods_sum,slopesmip_post_max,-0.3071121461786,0.0392130443648464,-1.62499256592109,0.117157733411813,0.0953575687641038,0.729756759764246
Model2_two_timepoints_with_covariates,woods_sum,smip_post_max,-0.297018430200502,0.00823941709520705,-1.9561914643903,0.0593197448053123,0.0780396337476603,0.607588420394753
Model2_two_timepoints_with_covariates,woods_sum,pif_pre_max,-0.292476159587384,0.90580060330995,-2.00262591194695,0.0554137046283622,0.0769911233535283,0.59518367200823
Model2_two_timepoints_with_covariates,woods_sum,slopesmip_pre_max,-0.253432914820336,0.0602149516199833,-1.5667239490545,0.132830423694911,0.0766590843084355,0.729493731785097
Model2_two_timepoints_with_covariates,woods_sum,sindex_pre_max,-0.278058692033603,0.0511394023442554,-1.89520133359362,0.0689982166064494,0.0702162817284385,0.583006357990791
Model2_two_timepoints_with_covariates,woods_sum,volume_pre_max,0.272649699312592,2.51069465975958,1.29794880880916,0.202866161351252,0.0492806727146517,0.461560649187069
Model2_two_timepoints_with_covariates,woods_sum,smip_pre_max,-0.160696083513485,0.0077890717340639,-0.91651877307376,0.36553017404605,0.0281586685157541,0.530666833167876
Model2_two_timepoints_with_covariates,woods_sum,id_post_max,-0.0468239210249325,0.319930094857579,-0.225962753303873,0.823121809542032,0.0256608209741448,0.69879457076955
Model2_two_timepoints_with_covariates,woods_sum,id_pre_max,0.007103991289938,0.271592054911118,0.0361163273151399,0.97147645145345,0.0237940172053441,0.692712693439633
Model2_two_timepoints_with_covariates,woods_sum,fit_post_max,-0.111767726413031,0.0984909624024556,-0.656008773601751,0.516912822252018,0.0218502193963706,0.496417875154734
Model2_two_timepoints_with_covariates,woods_sum,volume_post_max,-0.00556421578402771,0.0830376501014098,-0.0362699723027658,0.971332668166977,0.0101859509874545,0.460515794774996
Model2_two_timepoints_with_covariates,woods_sum,fit_pre_max,-0.0218433836983573,0.0755902489712905,-0.128505555502136,0.898600674499243,0.00988104227772382,0.491618055039815
Model3_visit1_resp_only,dsq_sum,mip_post_max_percentpredict_1,-0.510685035095148,0.088688976188125,-2.6563599078816,0.0151550819096477,0.22383916532364,NA
Model3_visit1_resp_only,dsq_sum,sindex_post_max,-0.496220096721563,0.130393501536484,-2.5560608333554,0.0188296295955524,0.208546103609875,NA
Model3_visit1_resp_only,dsq_sum,pif_post_max,-0.48307095198154,2.22935602384751,-2.46734277578534,0.0227634949321592,0.195025421880769,NA
