"Outcome","Outcome Name","IMT Before","IMT After","IMT Mean Difference (95% CI)","IMT p-value","Control Before","Control After","Control Mean Difference (95% CI)","Control p-value"
"psqi_latency","PSQI Sleep Latency","1.29","1.29","0.00 (-0.76 to 0.76)","1.000","2.14","2.14","0.00 (-0.76 to 0.76)","1.000"
"psqi_duration","PSQI Sleep Duration","0.57","0.57","0.00 (NaN to NaN)","NaN","1.71","1.00","-0.71 (-1.59 to 0.17)","0.094"
"psqi_efficiency","PSQI Sleep Efficiency","0.43","0.57","0.14 (-0.21 to 0.49)","0.356","1.43","1.43","0.00 (-0.76 to 0.76)","1.000"
"psqi_disturbances","PSQI Sleep Disturbances","1.71","1.14","-0.57 (-1.07 to -0.08)","0.030","2.00","1.86","-0.14 (-0.78 to 0.50)","0.604"
"psqi_medication","PSQI Sleep Medication","0.29","0.00","-0.29 (-0.98 to 0.41)","0.356","1.57","1.71","0.14 (-0.21 to 0.49)","0.356"
"psqi_dysfunction","PSQI Daytime Dysfunction","1.14","0.86","-0.29 (-0.74 to 0.17)","0.172","1.29","1.14","-0.14 (-0.49 to 0.21)","0.356"
"mmrc_score","MMRC","2.00","0.71","-1.29 (-1.98 to -0.59)","0.004","2.14","1.86","-0.29 (-0.74 to 0.17)","0.172"
"sfpa_sum","SFPA Sum","59.29","85.71","26.43 (-5.35 to 58.21)","0.088","59.29","62.86","3.57 (-15.06 to 22.21)","0.656"
"pcfs_score","PCFS","2.57","1.14","-1.43 (-2.48 to -0.38)","0.016","2.29","2.29","0.00 (-0.53 to 0.53)","1.000"
"mip_pre_max","MIP Max (Pre)","59.00","123.86","64.86 (42.85 to 86.87)","0.000","42.00","54.29","12.29 (-4.49 to 29.06)","0.123"
"mip_post_max","MIP Max (Post)","58.29","113.86","55.57 (21.44 to 89.70)","0.007","42.86","55.00","12.14 (1.58 to 22.71)","0.031"
"mip_predicted1","Age/Weight Predicted MIP (1)","97.80","96.96","-0.85 (-3.07 to 1.38)","0.388","77.23","81.03","3.80 (-5.53 to 13.13)","0.358"
"mip_predicted2","Age/Weight Predicted MIP (2)","112.33","111.97","-0.36 (-1.39 to 0.66)","0.420","100.74","102.37","1.63 (-2.80 to 6.05)","0.403"
"mip_pre_max_percentpredict_1","Percent of Age/Weight Predicted MIP (Pre-Activity) (1)","61.96","128.13","66.18 (51.35 to 81.00)","0.000","58.20","68.62","10.42 (-7.43 to 28.28)","0.203"
"mip_pre_max_percentpredict_2","Percent of Age/Weight Predicted MIP (Pre-Activity) (2)","54.10","111.09","56.99 (45.35 to 68.63)","0.000","42.80","53.64","10.84 (-4.76 to 26.44)","0.140"
"mip_post_max_percentpredict_1","Percent of Age/Weight Predicted MIP (Post-Activity) (1)","60.16","117.14","56.97 (26.62 to 87.33)","0.004","58.99","71.43","12.44 (-7.11 to 32.00)","0.170"
"mip_post_max_percentpredict_2","Percent of Age/Weight Predicted MIP (Post-Activity) (2)","52.51","101.13","48.62 (24.60 to 72.64)","0.003","44.16","55.74","11.58 (-0.69 to 23.85)","0.060"
"mip_max_fatigue","MIP Max Fatigue","0.71","10.00","9.29 (-13.57 to 32.14)","0.359","-0.86","-0.71","0.14 (-14.00 to 14.28)","0.981"
"mip_max_fatigue_percent","MIP Max Fatigue (%)","3.80","8.75","4.95 (-28.50 to 38.39)","0.730","-23.32","-2.74","20.58 (-56.38 to 97.53)","0.537"
"smip_pre_max","SMIP Max (Pre)","274.86","371.57","96.71 (-10.40 to 203.83)","0.069","197.86","198.43","0.57 (-163.14 to 164.28)","0.993"
"smip_post_max","SMIP Max (Post)","207.43","326.86","119.43 (0.62 to 238.23)","0.049","164.86","202.29","37.43 (-30.13 to 104.99)","0.224"
"smip_max_fatigue","SMIP Max Fatigue","67.43","44.71","-22.71 (-111.38 to 65.95)","0.554","33.00","-3.86","-36.86 (-177.84 to 104.13)","0.546"
"smip_max_fatigue_percent","SMIP Max Fatigue (%)","22.24","9.54","-12.70 (-45.46 to 20.06)","0.379","-28.95","-9.53","19.43 (-106.17 to 145.02)","0.718"
"pif_pre_max","PIF Max (Pre)","3.06","5.21","2.16 (1.15 to 3.16)","0.002","2.80","3.29","0.49 (-0.21 to 1.18)","0.138"
"pif_post_max","PIF Max (Post)","3.27","5.26","1.99 (0.92 to 3.05)","0.004","2.97","3.31","0.34 (-0.14 to 0.83)","0.135"
"pif_max_fatigue","PIF Max Fatigue","-0.21","-0.04","0.17 (-0.56 to 0.91)","0.589","-0.17","-0.03","0.14 (-0.47 to 0.75)","0.588"
"pif_max_fatigue_percent","PIF Max Fatigue (%)","-7.66","-0.56","7.10 (-13.46 to 27.67)","0.430","-7.72","-1.16","6.56 (-18.17 to 31.28)","0.541"
"sindex_pre_max","SIndex Max (Pre)","53.14","92.29","39.14 (19.15 to 59.13)","0.003","49.14","57.14","8.00 (-4.21 to 20.21)","0.160"
"sindex_post_max","SIndex Max (Post)","57.43","93.14","35.71 (16.25 to 55.18)","0.004","51.43","58.29","6.86 (-1.68 to 15.39)","0.097"
"sindex_max_fatigue","SIndex Max Fatigue","-4.29","-0.86","3.43 (-9.88 to 16.73)","0.552","-2.29","-1.14","1.14 (-9.58 to 11.87)","0.803"
"sindex_max_fatigue_percent","SIndex Max Fatigue (%)","-8.62","-0.68","7.94 (-13.48 to 29.36)","0.400","-5.82","-2.30","3.53 (-20.80 to 27.86)","0.735"
"fit_pre_max","FIT Max (Pre-Activity)","10.94","8.50","-2.44 (-8.69 to 3.81)","0.376","7.64","6.41","-1.23 (-12.11 to 9.65)","0.792"
"fit_post_max","FIT Max (Post-Activity)","7.07","6.11","-0.96 (-5.07 to 3.16)","0.590","5.11","6.31","1.20 (-3.18 to 5.58)","0.527"
"volume_pre_max","Volume Max (Pre-Activity)","2.49","2.39","-0.10 (-0.87 to 0.67)","0.762","2.56","2.47","-0.09 (-0.40 to 0.23)","0.528"
"volume_post_max","Volume Max (Post-Activity)","2.37","15.70","13.33 (-18.93 to 45.58)","0.351","2.63","2.33","-0.30 (-0.69 to 0.09)","0.105"
"hrv_sdnn","HRV SDNN","51.44","50.07","-1.37 (-22.79 to 20.06)","0.881","45.46","47.02","1.56 (-11.37 to 14.49)","0.769"
"hrv_rmssd","HRV RMSSD","35.27","36.14","0.87 (-12.00 to 13.75)","0.874","40.16","43.89","3.74 (-23.75 to 31.23)","0.741"
"hrv_heartrate","Heart Rate","69.06","69.61","0.55 (-4.31 to 5.41)","0.792","64.49","62.24","-2.25 (-6.67 to 2.17)","0.247"
"hrv_lfhf","HRV LF/HF Ratio","1.20","0.93","-0.27 (-0.86 to 0.32)","0.302","0.85","1.30","0.45 (-0.56 to 1.47)","0.304"
"cpet_hrr1","HRR 1","28.00","17.57","-10.43 (-22.80 to 1.94)","0.085","21.14","12.00","-9.14 (-27.82 to 9.53)","0.276"
"cpet_hrr2","HRR 2","41.43","32.14","-9.29 (-21.71 to 3.14)","0.117","33.29","21.86","-11.43 (-31.68 to 8.83)","0.217"
"cpet_chronindex","Chronotropic Index (CI)","0.82","0.79","-0.03 (-0.24 to 0.17)","0.715","0.64","0.67","0.03 (-0.19 to 0.26)","0.736"
