"Outcome","Outcome_Name","F_value","Group_p","R_squared","Adj_R_squared","Significant"
"cpet_petco2_peak","Peak PETCO2",13.2119336417577,0.858817913324294,0.725454743117687,0.670545691741224,FALSE
"cpet_petco2_at_vslope","PETCO2 at VT",23.9140784052047,0.586425331264023,0.82707385897176,0.792488630766112,FALSE
"cpet_petco2_change","Change in PETCO2 from AT to Peak",7.20351840668127,0.0428583342719707,0.59028209460785,0.50833851352942,TRUE
"cpet_rer","Peak RER",7.49816761705684,0.177088156343854,0.576863434751939,0.499929513797747,FALSE
"fss_sum","Fatigue Severity",5.68365535448119,0.154654022448405,0.508210882250033,0.418794679022766,FALSE
"dsq_sum","Post-Exertional Malaise (DSQ)",12.1590486812978,0.0390176759465581,0.688544943770109,0.63191675172831,TRUE
"woods_sum","Mental Fatigue",4.28753904765153,0.0416637593702587,0.438060990283385,0.335890261244,TRUE
"vas_fatiguebest","VAS Fatigue - Best",11.7037739915468,0.0355808732421797,0.680302705516682,0.622175924701533,TRUE
"vas_fatigueworst","VAS Fatigue - Worst",8.79521565784705,0.0437965966406256,0.615255891786362,0.5453024175657,TRUE
"vas_fatiguecurrent","VAS Fatigue - Current",6.63927959167771,0.00455843469362527,0.546925337828892,0.464548126525054,TRUE
"psqi_sum","PSQI Total",33.646309890043,0.0108754140229736,0.859501444313684,0.833956252370717,TRUE
"psqi_quality","PSQI Sleep Quality",2.14545853444493,0.138706288104133,0.280618686868687,0.149822084481175,FALSE
"psqi_latency","PSQI Sleep Latency",3.5914483440435,0.421823558770169,0.395035885167464,0.285042409743367,FALSE
"psqi_duration","PSQI Sleep Duration",4.48603351955308,0.477376499052995,0.449230769230769,0.349090909090909,FALSE
"psqi_efficiency","PSQI Sleep Efficiency",13.8381679389313,0.761273797636794,0.715588363004776,0.663877156278372,FALSE
"psqi_disturbances","PSQI Sleep Disturbances",5.49248633879781,0.0531948823134698,0.499658236500342,0.408687006773131,FALSE
"psqi_medication","PSQI Sleep Medication",36.74,0.0263309537526923,0.869791666666667,0.846117424242424,TRUE
"psqi_dysfunction","PSQI Daytime Dysfunction",6.65789473684211,0.402173034824352,0.547619047619048,0.465367965367966,FALSE
"mmrc_score","MMRC",22.6789354473386,0.0171969272935682,0.804818744473917,0.769331243469174,TRUE
"sfpa_sum","SFPA Sum",4.3159563341384,0.0550004071662758,0.439687809034782,0.337812865222924,FALSE
"pcfs_score","PCFS",4.37072243346008,0.0216257489685742,0.442796610169492,0.341486902927581,TRUE
"mip_pre_max","MIP Max (Pre)",20.0403494749715,0.000833405356516415,0.784654473683308,0.745500741625727,TRUE
"mip_post_max","MIP Max (Post)",10.9190117149321,0.00272332314963615,0.665022469348865,0.604117463775931,TRUE
"mip_predicted1","Age/Weight Predicted MIP (1)",50.6042069960286,0.346037247029159,0.901968135822874,0.884144160517943,FALSE
"mip_predicted2","Age/Weight Predicted MIP (2)",267.920906987117,0.333567872431261,0.979884493616067,0.976227128818989,FALSE
"mip_pre_max_percentpredict_1","Percent of Age/Weight Predicted MIP (Pre-Activity) (1)",48.4886071047685,1.71825152084547e-06,0.898126654956538,0.879604228584999,TRUE
"mip_pre_max_percentpredict_2","Percent of Age/Weight Predicted MIP (Pre-Activity) (2)",43.3528513904196,7.72342118640317e-06,0.887417011628546,0.86694737737919,TRUE
"mip_post_max_percentpredict_1","Percent of Age/Weight Predicted MIP (Post-Activity) (1)",8.64144371844977,0.00242408885842892,0.611072242021204,0.540358104206877,TRUE
"mip_post_max_percentpredict_2","Percent of Age/Weight Predicted MIP (Post-Activity) (2)",15.3798376289356,0.000446740826134066,0.736587989919136,0.68869489717716,TRUE
"mip_max_fatigue","MIP Max Fatigue",1.8425678429012,0.0830334936069891,0.250943250688871,0.114751114450484,FALSE
"mip_max_fatigue_percent","MIP Max Fatigue (%)",1.33504727839316,0.20452430059733,0.195323781097095,0.0490190140238399,FALSE
"smip_pre_max","SMIP Max (Pre)",6.96792459066213,0.0874541554346364,0.558868040947309,0.478662230210457,FALSE
"smip_post_max","SMIP Max (Post)",7.20601383942256,0.108200470668598,0.567134109130645,0.488431219881671,FALSE
"smip_max_fatigue","SMIP Max Fatigue",0.421889576119816,0.41598066961371,0.0712423915874922,-0.0976226281238728,FALSE
"smip_max_fatigue_percent","SMIP Max Fatigue (%)",0.330364027667709,0.458545846789427,0.056662675966712,-0.11485320113025,FALSE
"pif_pre_max","PIF Max (Pre)",10.6173133553904,0.00853252001955634,0.658752058812549,0.596706978596648,TRUE
"pif_post_max","PIF Max (Post)",14.546553153458,0.00835131836024529,0.725638619372764,0.675754731985994,TRUE
"pif_max_fatigue","PIF Max Fatigue",0.00159325398647427,0.956317569101683,0.000289598651321558,-0.18147592886662,FALSE
"pif_max_fatigue_percent","PIF Max Fatigue (%)",0.162307655979977,0.921629230357553,0.0286645773845516,-0.147941863090985,FALSE
"sindex_pre_max","SIndex Max (Pre)",9.30591937400495,0.0104995218245751,0.628526951885442,0.560986397682796,TRUE
"sindex_post_max","SIndex Max (Post)",15.1649816037006,0.0108153789218738,0.733849267060799,0.685458224708217,TRUE
"sindex_max_fatigue","SIndex Max Fatigue",0.00271198574833617,0.953694370880068,0.000492845301618553,-0.181235728279906,FALSE
"sindex_max_fatigue_percent","SIndex Max Fatigue (%)",0.19436790764302,0.82396443633252,0.0341333596275257,-0.141478756803833,FALSE
"fit_pre_max","FIT Max (Pre-Activity)",2.23350929385742,0.826580490635062,0.288809285537609,0.159501882908084,FALSE
"fit_post_max","FIT Max (Post-Activity)",4.72091820876102,0.547855673195919,0.461887876640517,0.364049308756974,FALSE
"volume_pre_max","Volume Max (Pre-Activity)",4.59552308359603,0.900774168901657,0.455204058823181,0.356150251336487,FALSE
"volume_post_max","Volume Max (Post-Activity)",0.567502240683255,0.319689818057802,0.0935314431164262,-0.0712810217714963,FALSE
"hrv_sdnn","HRV SDNN",3.48908380118634,0.834431202366931,0.411008288161644,0.293209945793972,FALSE
"hrv_rmssd","HRV RMSSD",3.14028909111088,0.759853188267672,0.38577120001058,0.262925440012696,FALSE
"hrv_heartrate","Heart Rate",11.217469894577,0.307588202626652,0.691690502124997,0.630028602549996,FALSE
"hrv_lfhf","HRV LF/HF Ratio",0.677662291256095,0.291691361118627,0.119355864525393,-0.0567729625695284,FALSE
"cpet_hrr1","HRR 1",1.65563359950972,0.877846870094492,0.231374842840354,0.0916248142658733,FALSE
"cpet_hrr2","HRR 2",3.90736088102366,0.609638942451863,0.415351439201776,0.309051700874826,FALSE
"cpet_chronindex","Chronotropic Index (CI)",1.45186191102793,0.66779710404354,0.208845044623916,0.0649986891009914,FALSE
