"Outcome","Outcome Name","IMT vs Control Mean Difference (95% CI)","IMT vs Control F-Score","IMT vs Control p-value","IMT vs Control Effect Size"
"mip_pre_max_percentpredict_1","Percent of Age/Weight Predicted MIP (Pre-Activity) (1)","58.00 (45.62 to 70.37)","48.49","0.000","3.97"
"mip_pre_max_percentpredict_2","Percent of Age/Weight Predicted MIP (Pre-Activity) (2)","52.95 (39.74 to 66.15)","43.35","0.000","4.08"
"mip_post_max_percentpredict_1","Percent of Age/Weight Predicted MIP (Post-Activity) (1)","45.34 (22.63 to 68.05)","8.64","0.002","2.03"
"mip_post_max_percentpredict_2","Percent of Age/Weight Predicted MIP (Post-Activity) (2)","42.76 (25.77 to 59.74)","15.38","0.000","2.60"
"mip_max_fatigue","MIP Max Fatigue","10.68 (-0.30 to 21.66)","1.84","0.083","1.06"
"mip_max_fatigue_percent","MIP Max Fatigue (%)","10.46 (-4.74 to 25.67)","1.34","0.205","0.76"
"smip_pre_max","SMIP Max (Pre)","131.44 (-5.90 to 268.78)","6.97","0.087","0.83"
"smip_post_max","SMIP Max (Post)","95.51 (-11.56 to 202.57)","7.21","0.108","0.73"
"smip_max_fatigue","SMIP Max Fatigue","46.55 (-61.40 to 154.51)","0.42","0.416","0.48"
"smip_max_fatigue_percent","SMIP Max Fatigue (%)","18.85 (-29.25 to 66.95)","0.33","0.459","0.45"
"pif_pre_max","PIF Max (Pre)","1.69 (0.65 to 2.72)","10.62","0.009","1.40"
"pif_post_max","PIF Max (Post)","1.63 (0.63 to 2.62)","14.55","0.008","1.21"
"pif_max_fatigue","PIF Max Fatigue","-0.01 (-0.52 to 0.49)","0.00","0.956","-0.03"
"pif_max_fatigue_percent","PIF Max Fatigue (%)","0.61 (-11.20 to 12.42)","0.16","0.922","0.06"
"sindex_pre_max","SIndex Max (Pre)","31.17 (11.32 to 51.01)","9.31","0.010","1.39"
"sindex_post_max","SIndex Max (Post)","28.00 (10.08 to 45.93)","15.16","0.011","1.13"
"sindex_max_fatigue","SIndex Max Fatigue","0.27 (-8.58 to 9.11)","0.00","0.954","0.03"
"sindex_max_fatigue_percent","SIndex Max Fatigue (%)","1.37 (-10.41 to 13.15)","0.19","0.824","0.13"
"fit_pre_max","FIT Max (Pre-Activity)","0.85 (-6.57 to 8.27)","2.23","0.827","0.11"
"fit_post_max","FIT Max (Post-Activity)","-1.37 (-5.71 to 2.97)","4.72","0.548","-0.26"
"volume_pre_max","Volume Max (Pre-Activity)","-0.04 (-0.66 to 0.58)","4.60","0.901","-0.05"
"volume_post_max","Volume Max (Post-Activity)","14.58 (-12.84 to 41.99)","0.57","0.320","0.59"
"hrv_sdnn","HRV SDNN","-2.42 (-24.48 to 19.65)","3.49","0.834","-0.10"
"hrv_rmssd","HRV RMSSD","-3.73 (-27.02 to 19.56)","3.14","0.760","-0.15"
"hrv_heartrate","Heart Rate","3.20 (-2.64 to 9.05)","11.22","0.308","0.42"
"hrv_lfhf","HRV LF/HF Ratio","-0.46 (-1.26 to 0.35)","0.68","0.292","-0.67"
"cpet_hrr1","HRR 1","1.47 (-16.85 to 19.79)","1.66","0.878","0.08"
"cpet_hrr2","HRR 2","5.02 (-13.71 to 23.76)","3.91","0.610","0.24"
"cpet_chronindex","Chronotropic Index (CI)","0.05 (-0.17 to 0.27)","1.45","0.668","0.25"
