"Outcome","Outcome_Name","Normality_p","Levene_p","Slope_Interaction_p"
"pif_post_max","PIF Max (Post)",0.529897592602244,0.44158897503788,0.944350255214057
"pif_max_fatigue","PIF Max Fatigue",0.273063790922603,0.456196627993042,0.36835618640667
"pif_max_fatigue_percent","PIF Max Fatigue (%)",0.73806668083776,0.941894465919092,0.192387808980128
"sindex_pre_max","SIndex Max (Pre)",0.385430089874323,0.59462550071606,0.70153993902054
"sindex_post_max","SIndex Max (Post)",0.403127726479951,0.368080049709715,0.842200011485005
"sindex_max_fatigue","SIndex Max Fatigue",0.68396844992306,0.449567308891365,0.460852950395252
"sindex_max_fatigue_percent","SIndex Max Fatigue (%)",0.935738831616797,0.801970682195952,0.22287931131505
"fit_pre_max","FIT Max (Pre-Activity)",0.00121514976079295,0.755500288726545,0.142996737271904
"fit_post_max","FIT Max (Post-Activity)",0.621508084418473,0.317452286908201,0.597836682221501
"volume_pre_max","Volume Max (Pre-Activity)",0.285749211398937,0.894263940013234,0.563736515225914
"volume_post_max","Volume Max (Post-Activity)",2.47040609116735e-05,0.331902563182104,0.647436037530021
"hrv_sdnn","HRV SDNN",0.1531360681218,0.898609027895932,0.180366756805931
"hrv_rmssd","HRV RMSSD",0.191872302434229,0.301137286686678,0.347029401802495
"hrv_heartrate","Heart Rate",0.226740618109358,0.188113231339271,0.10252377209199
"hrv_lfhf","HRV LF/HF Ratio",0.500351881610249,0.107627860489489,0.632067999268018
"cpet_hrr1","HRR 1",0.443631938004137,0.476213841270733,0.793360533064758
"cpet_hrr2","HRR 2",0.426536563696193,0.330363435414328,0.892727607010745
"cpet_chronindex","Chronotropic Index (CI)",0.156716864862816,0.618241039518513,0.906446777228885
